Id_Venda;Ordem_Compra;Data_Venda;SKU;ID_Cliente;Qtd_Vendida
SO45079;1;01/01/2020;HL45;29255;1
SO45080;1;01/01/2020;HL59;14657;1
SO45081;1;01/01/2020;HL62;26782;1
SO45082;1;01/01/2020;HL71;11455;1
SO45083;1;02/01/2020;HL45;14947;1
SO45084;1;02/01/2020;HL43;29143;1
SO45085;1;02/01/2020;HL45;18746;1
SO45086;1;02/01/2020;HL47;18747;1
SO45087;1;03/01/2020;HL71;11388;1
SO45088;1;03/01/2020;HL66;11398;1
SO45089;1;03/01/2020;HL72;25977;1
SO45090;1;03/01/2020;HL43;29170;1
SO45091;1;03/01/2020;HL47;18909;1
SO45092;1;03/01/2020;HL46;18899;1
SO45093;1;03/01/2020;HL45;18906;1
SO45094;1;03/01/2020;HL43;22785;1
SO45095;1;04/01/2020;HL65;11394;1
SO45096;1;04/01/2020;HL45;12483;1
SO45097;1;04/01/2020;HL46;29151;1
SO45098;1;04/01/2020;HL43;29167;1
SO45099;1;04/01/2020;HL45;29174;1
SO45100;1;05/01/2020;HL56;19428;1
SO45101;1;05/01/2020;HL46;22748;1
SO45102;1;05/01/2020;HL43;29274;1
SO45103;1;06/01/2020;HL43;29140;1
SO45104;1;06/01/2020;HL43;29142;1
SO45105;1;06/01/2020;HL45;22765;1
SO45106;1;06/01/2020;HL69;19987;1
SO45107;1;06/01/2020;HL45;29275;1
SO45108;1;06/01/2020;HL43;22975;1
SO45109;1;07/01/2020;HL44;14937;1
SO45110;1;07/01/2020;HL44;18710;1
SO45111;1;07/01/2020;HL56;25713;1
SO45112;1;07/01/2020;HL55;20558;1
SO45113;1;08/01/2020;HL46;29141;1
SO45114;1;08/01/2020;HL43;29146;1
SO45115;1;08/01/2020;HL69;25984;1
SO45116;1;08/01/2020;HL44;29204;1
SO45117;1;08/01/2020;HL64;14727;1
SO45118;1;08/01/2020;HL47;18722;1
SO45119;1;08/01/2020;HL47;18740;1
SO45120;1;08/01/2020;HL65;11751;1
SO45121;1;09/01/2020;HL43;29169;1
SO45122;1;09/01/2020;HL47;29236;1
SO45123;1;09/01/2020;HL44;22971;1
SO45124;1;09/01/2020;HL46;18725;1
SO45126;1;10/01/2020;HL44;12480;1
SO45127;1;10/01/2020;HL46;29158;1
SO45128;1;10/01/2020;HL43;18726;1
SO45129;1;10/01/2020;HL71;11759;1
SO45130;1;11/01/2020;HL46;14975;1
SO45131;1;11/01/2020;HL65;25979;1
SO45132;1;11/01/2020;HL71;25985;1
SO45133;1;11/01/2020;HL47;29163;1
SO45134;1;11/01/2020;HL47;22895;1
SO45135;1;11/01/2020;HL43;29264;1
SO45136;1;11/01/2020;HL45;19084;1
SO45137;1;11/01/2020;HL43;18735;1
SO45138;1;11/01/2020;HL70;11452;1
SO45139;1;12/01/2020;HL47;12468;1
SO45140;1;12/01/2020;HL45;12485;1
SO45141;1;12/01/2020;HL45;29222;1
SO45142;1;12/01/2020;HL44;22901;1
SO45143;1;12/01/2020;HL43;29278;1
SO45144;1;12/01/2020;HL44;19093;1
SO45145;1;12/01/2020;HL47;18716;1
SO45146;1;13/01/2020;HL43;14950;1
SO45147;1;13/01/2020;HL45;29166;1
SO45148;1;13/01/2020;HL64;14656;1
SO45149;1;14/01/2020;HL47;14941;1
SO45150;1;14/01/2020;HL67;25980;1
SO45151;1;14/01/2020;HL47;29202;1
SO45152;1;14/01/2020;HL43;29276;1
SO45153;1;14/01/2020;HL43;19089;1
SO45154;1;14/01/2020;HL46;18767;1
SO45155;1;14/01/2020;HL45;18900;1
SO45156;1;14/01/2020;HL65;11465;1
SO45157;1;14/01/2020;HL65;11750;1
SO45158;1;15/01/2020;HL65;28419;1
SO45159;1;15/01/2020;HL70;11400;1
SO45160;1;15/01/2020;HL43;14984;1
SO45161;1;15/01/2020;HL70;25978;1
SO45162;1;15/01/2020;HL45;18721;1
SO45163;1;15/01/2020;HL57;25714;1
