Id_Venda;Data_Venda;ID_Cliente;ID_Loja
SO45079;01/01/2020;11455;200
SO45080;01/01/2020;26782;200
SO45081;01/01/2020;14657;101
SO45082;01/01/2020;29255;122
SO45083;02/01/2020;14947;199
SO45084;02/01/2020;18746;306
SO45085;02/01/2020;18747;309
SO45086;02/01/2020;29143;202
SO45087;03/01/2020;18906;200
SO45088;03/01/2020;29170;308
SO45089;03/01/2020;11398;259
SO45090;03/01/2020;25977;109
SO45091;03/01/2020;11388;175
SO45092;03/01/2020;18899;252
SO45093;03/01/2020;18909;178
SO45094;03/01/2020;22785;68
SO45095;04/01/2020;11394;138
SO45096;04/01/2020;29151;141
SO45097;04/01/2020;12483;189
SO45098;04/01/2020;29174;50
SO45099;04/01/2020;29167;158
SO45100;05/01/2020;19428;166
SO45101;05/01/2020;22748;198
SO45102;05/01/2020;29274;27
SO45103;06/01/2020;19987;6
SO45104;06/01/2020;22765;197
SO45105;06/01/2020;29275;195
SO45106;06/01/2020;29142;97
SO45107;06/01/2020;22975;18
SO45108;06/01/2020;29140;52
SO45109;07/01/2020;20558;102
SO45110;07/01/2020;25713;193
SO45111;07/01/2020;14937;18
SO45112;07/01/2020;18710;63
SO45113;08/01/2020;14727;41
SO45114;08/01/2020;25984;32
SO45115;08/01/2020;11751;108
SO45116;08/01/2020;29204;38
SO45117;08/01/2020;29141;114
SO45118;08/01/2020;18740;114
SO45119;08/01/2020;18722;97
SO45120;08/01/2020;29146;53
SO45121;09/01/2020;22971;191
SO45122;09/01/2020;18725;48
SO45123;09/01/2020;29236;76
SO45124;09/01/2020;29169;156
SO45126;10/01/2020;11759;45
SO45127;10/01/2020;12480;33
SO45128;10/01/2020;29158;179
SO45129;10/01/2020;18726;171
SO45130;11/01/2020;29264;199
SO45131;11/01/2020;11452;48
SO45132;11/01/2020;25985;284
SO45133;11/01/2020;25979;44
SO45134;11/01/2020;14975;58
SO45135;11/01/2020;22895;117
SO45136;11/01/2020;29163;152
SO45137;11/01/2020;19084;31
SO45138;11/01/2020;18735;32
SO45139;12/01/2020;29222;199
SO45140;12/01/2020;29278;199
SO45141;12/01/2020;22901;199
SO45142;12/01/2020;18716;308
SO45143;12/01/2020;19093;308
SO45144;12/01/2020;12485;308
SO45145;12/01/2020;12468;308
SO45146;13/01/2020;14656;308
SO45147;13/01/2020;29166;308
SO45148;13/01/2020;14950;308
SO45149;14/01/2020;14941;200
SO45150;14/01/2020;18767;200
SO45151;14/01/2020;29202;200
SO45152;14/01/2020;25980;200
SO45153;14/01/2020;11750;200
SO45154;14/01/2020;11465;200
SO45155;14/01/2020;18900;265
SO45156;14/01/2020;19089;292
SO45157;14/01/2020;29276;256
SO45158;15/01/2020;28419;281
SO45159;15/01/2020;25714;276
SO45160;15/01/2020;11400;255
SO45161;15/01/2020;25978;272
SO45162;15/01/2020;11453;296
SO45163;15/01/2020;18721;261
SO45164;15/01/2020;14984;272
SO45165;16/01/2020;19083;307
SO45166;16/01/2020;18738;307
SO45167;16/01/2020;22881;307
SO45168;16/01/2020;11754;297
SO45169;16/01/2020;11462;297
SO45170;16/01/2020;18706;278
SO45171;16/01/2020;18766;269
SO45172;17/01/2020;29157;306
SO45173;17/01/2020;29238;306
SO45174;17/01/2020;18008;307
SO45175;17/01/2020;29254;307
SO45176;17/01/2020;29198;307
SO45177;17/01/2020;11457;310
SO45178;17/01/2020;11456;310
SO45179;17/01/2020;18903;310
SO45180;18/01/2020;15046;306
SO45181;18/01/2020;25717;306
SO45182;18/01/2020;25711;231
SO45183;18/01/2020;18769;226
SO45184;18/01/2020;14929;211
SO45185;18/01/2020;14949;217
